Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čsl. lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
506761,Alojzov,205,145,144,"20,13","0,00","0,00","6,25","0,00","3,47","11,80","2,77","0,69","0,69","0,00","0,00","12,50","0,00","3,47","22,22","0,00","0,00",0,"0,00","0,00","0,69","0,69","10,41","0,00"
589268,Bedihošť,834,527,524,"9,73","0,00","0,00","5,34","0,19","2,48","23,47","0,38","0,38","2,67","0,19","0,00","6,48","0,00","1,14","26,71","0,00","0,00",0,"0,00","0,00","0,00","0,00","15,64","0,19"
589276,Bílovice-Lutotín,431,279,275,"4,72","0,00","0,00","11,63","0,00","2,90","14,54","0,36","0,00","1,45","0,00","0,00","10,90","0,00","1,09","30,18","0,00","0,00",0,"0,00","0,00","0,00","0,36","13,81","0,00"
589284,Biskupice,238,132,131,"10,68","0,00","0,00","6,87","0,00","3,81","18,32","1,52","0,76","0,76","0,00","0,00","7,63","1,52","0,00","25,95","0,00","0,00",0,"0,00","0,00","0,00","0,00","14,50","0,00"
589292,Bohuslavice,376,236,236,"8,47","0,00","0,00","9,74","0,00","1,27","9,32","1,27","1,69","2,54","0,00","0,42","7,20","0,00","1,69","22,45","0,42","0,42",0,"0,00","0,00","1,27","0,00","15,25","0,00"
589306,Bousín,107,67,67,"7,46","0,00","0,00","5,97","0,00","4,47","20,89","0,00","2,98","0,00","0,00","0,00","10,44","0,00","2,98","14,92","0,00","0,00",0,"0,00","0,00","0,00","0,00","16,41","0,00"
589314,Brodek u Konice,695,460,460,"5,43","0,00","0,00","6,95","0,00","4,34","10,21","0,65","0,86","1,08","0,00","0,00","8,26","0,21","1,08","31,30","0,00","0,00",0,"0,21","0,00","0,21","0,00","15,65","0,43"
589322,Brodek u Prostějova,1 224,656,655,"8,24","0,00","0,00","6,41","0,00","3,20","9,31","0,76","0,61","1,67","0,15","0,30","8,70","0,00","3,35","30,83","0,00","0,15",0,"0,30","0,15","0,45","0,61","16,33","0,30"
589331,Březsko,178,111,111,"8,10","0,90","0,00","8,10","0,00","5,40","2,70","0,00","2,70","0,90","0,00","0,00","9,00","0,90","1,80","32,43","0,00","0,00",0,"0,00","0,00","0,00","0,00","11,71","0,00"
589349,Budětsko,331,208,206,"2,91","0,00","0,00","11,65","0,00","2,91","10,67","0,48","1,45","0,97","0,00","0,00","3,39","0,48","1,45","28,15","0,00","0,48",0,"0,00","0,48","0,97","0,00","16,99","0,97"
589357,Buková,264,170,169,"9,46","0,00","0,00","11,24","0,00","1,77","19,52","1,18","0,00","1,77","0,00","0,00","8,28","0,00","1,18","20,71","0,59","0,00",0,"0,00","0,59","0,00","0,00","8,87","0,00"
589365,Čehovice,426,281,280,"5,71","0,00","0,00","9,64","0,00","2,85","15,00","1,78","2,50","1,78","0,00","0,00","6,42","0,00","3,57","28,57","0,00","0,35",0,"0,00","0,00","0,35","1,07","15,71","0,00"
589381,Čechy pod Kosířem,814,512,512,"4,88","0,19","0,00","12,89","0,19","3,90","15,42","1,36","1,36","1,17","0,00","0,00","6,05","0,39","1,36","27,34","0,00","0,00",0,"0,00","0,00","0,00","0,58","13,67","0,00"
589390,Čelčice,437,272,272,"7,72","0,00","0,00","8,45","0,36","3,67","16,91","1,83","0,00","1,10","0,00","0,36","6,61","0,00","0,73","27,20","0,00","0,36",0,"0,00","0,00","0,36","0,36","18,01","0,36"
589403,Čelechovice na Hané,1 063,649,642,"7,63","0,00","0,15","7,00","0,00","9,81","11,83","0,31","0,46","0,00","0,15","0,00","6,69","0,00","2,33","30,84","0,00","0,31",0,"0,00","0,15","0,00","0,93","16,04","0,31"
589420,Dětkovice,427,284,281,"6,76","0,00","0,00","4,27","0,00","2,13","16,72","0,71","1,42","1,42","0,35","0,00","13,52","0,00","0,71","29,18","0,00","0,00",0,"0,00","0,71","0,00","0,35","8,89","0,00"
589438,Dobrochov,270,172,170,"7,64","0,00","0,00","8,23","0,58","4,11","7,64","2,94","1,17","1,76","0,00","0,00","7,64","0,00","2,94","30,00","0,00","0,58",0,"0,00","0,00","0,00","0,00","14,70","0,00"
589446,Dobromilice,629,308,308,"2,92","0,00","1,29","7,14","0,00","4,54","13,63","0,32","0,00","0,32","0,00","0,00","3,24","0,00","0,00","30,84","0,32","0,32",0,"0,64","0,00","0,00","0,00","22,07","0,64"
589454,Doloplazy,459,244,244,"9,83","0,40","0,00","8,19","0,00","2,04","15,16","0,81","0,00","1,22","0,00","0,00","4,91","0,00","0,00","29,09","0,00","0,00",0,"0,40","0,40","0,81","0,40","22,95","0,00"
589462,Drahany,443,290,287,"3,83","0,00","0,00","10,10","0,00","9,75","15,33","0,69","2,09","2,09","0,00","0,00","3,13","0,00","3,13","24,39","0,00","0,69",0,"0,00","0,34","0,34","0,34","17,77","0,00"
558419,Držovice,1 139,748,742,"10,51","0,13","0,00","5,66","0,40","5,39","6,06","0,53","0,80","0,67","0,00","1,21","8,08","0,00","2,02","37,06","0,00","0,26",0,"0,00","0,53","0,13","0,67","13,74","0,94"
589489,Dřevnovice,380,220,219,"2,73","0,00","0,00","6,84","0,00","1,82","12,78","0,45","0,45","0,00","0,00","0,00","10,95","0,00","0,91","31,05","0,00","0,00",0,"0,00","0,00","0,00","0,00","17,35","0,00"
589497,Dzbel,209,133,133,"1,50","0,75","0,00","8,27","0,00","3,75","16,54","0,00","0,75","0,75","0,00","0,00","4,51","0,00","0,00","37,59","0,00","0,00",0,"0,00","0,00","1,50","0,00","6,01","0,00"
549967,Hačky,83,67,65,"6,15","0,00","1,53","15,38","1,53","6,15","0,00","0,00","0,00","4,61","0,00","0,00","0,00","1,53","1,53","18,46","0,00","0,00",0,"0,00","0,00","4,61","0,00","7,69","3,07"
589501,Hluchov,292,174,173,"5,20","0,00","0,00","5,20","0,00","2,31","14,45","2,89","0,00","3,46","0,00","0,00","4,04","0,00","0,57","35,26","0,00","0,00",0,"0,00","0,00","0,00","0,57","20,80","0,00"
589519,Horní Štěpánov,749,454,452,"3,53","0,00","0,00","12,38","0,00","2,21","10,61","0,22","0,88","0,22","0,00","0,22","9,07","0,00","1,10","28,76","0,00","0,00",0,"0,88","0,00","0,44","0,44","14,60","0,22"
589527,Hradčany-Kobeřice,326,196,194,"5,67","0,00","0,00","8,24","0,00","2,57","12,37","0,51","0,00","0,51","0,51","0,51","7,21","0,00","0,51","25,77","0,00","0,00",0,"0,00","0,00","1,54","1,54","25,25","0,00"
